City,Longitute,Latitude
서울,37.56689801425556, 126.98000979268568
경기,37.40562172425726, 127.46890135685352
대구,35.82282669442586, 128.5620409863836
인천,37.45360507849323, 126.69985849650601
부산,35.1698819630622, 129.05093255979506
경남,35.476662155879914, 128.17624921154228
경북,36.585048825725046, 126.8372227323091
충남,34.80969327162291, 129.13885849550488
검역,36.33764566311469, 127.39203232447022
대전,37.82650135231375, 128.27468503861806
강원,36.786283333751165, 127.68619733950082
충북,35.54908117990922, 129.24625584375573
울산,35.154004514300816, 126.84325577578298
광주,35.76251125512539, 127.11622832763295
제주,33.392874009774076, 126.55592566132465
전남,34.87410876090402, 126.86926915828217
세종,36.68829895509777, 127.25098104089165